feature,coef_logprice,pct_effect,eur_effect_at_median,t_stat
intercept,7.381615914883099,1605.1831271644014,2407774.690746602,125.03945820485664
log_surface,0.2612679461435121,0.29857556713742217,447.86335070613325,15.388388752804206
rooms,0.060582884422469174,0.062455654944341354,93.68348241651204,4.082793144565056
bathrooms,0.0899608121271438,0.09413140618264282,141.19710927396423,6.510878934138278
floor_code,0.005199893777689368,0.005213436689063933,7.820155033595899,0.5499325165712521
conservation_code,-0.02231935437697974,-0.022072120370900894,-33.10818055635134,-2.470531660717154
antiquity_code,-0.0006768309694544783,-0.0006766019710412463,-1.0149029565618695,-0.06548163478103196
dist_metro_m,-0.007900312024542444,-0.007869186580342191,-11.803779870513287,-0.5391891098950977
dist_park_m,0.0070706452242355056,0.007095701255469322,10.643551883203983,0.3519990948431524
dist_center_km,-0.09269354042280042,-0.08852721293614518,-132.79081940421779,-2.3413170385397093
noise_index,0.1324779495390196,0.14165384181814145,212.48076272721218,4.739072334191623
has_elevator,0.003099024781185733,0.0031038317228107015,4.655747584216052,0.13366048198850483
has_air_conditioning,0.07877934344012671,0.08196555293148378,122.94832939722566,3.5286233920081624
is_furnished,0.0693975293950202,0.07186222120691932,107.79333181037897,3.129835966186136
has_terrace,-0.005484997939961822,-0.005469982803968043,-8.204974205952064,-0.2461245049746332
has_garden,1.059092323099791e-16,0.0,0.0,0.12221815277358374
has_pool,0.04875003924932564,0.04995786967913185,74.93680451869777,1.370034706911226
has_garage,-0.04015139911724219,-0.039356012509715654,-59.03401876457348,-1.3694797770721383
has_storage_room,0.012532986248781519,0.012611853256243366,18.91777988436505,0.4169711074519871
has_ensuite,0.012610762972375511,0.01269061395129678,19.03592092694517,0.4515015614962867
has_equipped_kitchen,0.02924877787762714,0.029680724399330005,44.521086598995005,1.3104989447841264
has_balcony,0.014578443026091126,0.01468522680936557,22.027840214048354,0.5939995464566098
has_wardrobes,-0.03960345743807103,-0.03882949139186531,-58.24423708779797,-1.7772789402863414
is_exterior,-0.06750930076520945,-0.06528097302660785,-97.92145953991177,-2.826302830816993
is_modern,0.11709454733637159,0.12422571721289954,186.33857581934933,4.85971281890865
dist_Barajas,0.16561783399548347,0.1801220130188248,270.1830195282372,1.368403959614924
dist_Barrio de Salamanca,0.17537813860858975,0.19169675797736963,287.54513696605443,2.7338109494902882
dist_Carabanchel,-0.10636726003629349,-0.10090561400322784,-151.35842100484177,-1.5615373432488238
dist_Centro,-0.2072146627305571,-0.18715485629982376,-280.73228444973563,-2.9261216968504673
dist_Chamartín,0.14060887957061396,0.1509743903402403,226.46158551036044,2.1113487695927144
dist_Chamberí,0.11610320745188574,0.12311177965685305,184.66766948527956,1.7691435122838972
dist_Ciudad Lineal,0.02079061969924112,0.021008250240896587,31.51237536134488,0.28755076984253586
dist_Fuencarral - El Pardo,0.014415875055220795,0.014520284898470237,21.780427347705356,0.17600159809657695
dist_Hortaleza,0.13832514178754707,0.1483488657836023,222.52329867540342,1.1812141093574215
dist_Latina,-0.05159692927277604,-0.05028840935317802,-75.43261402976704,-0.7033934434568492
dist_Moncloa - Aravaca,0.11475555194196119,0.12159923130471872,182.3988469570781,1.639924390292575
dist_Moratalaz,-0.16791987379478712,-0.15457842760675933,-231.867641410139,-2.363787257727888
dist_Puente de Vallecas,-0.06321423459894504,-0.06125765894383084,-91.88648841574626,-0.9543925481735693
dist_Retiro,0.0687056748669761,0.07112090494681378,106.68135742022066,1.0045870209443046
dist_San Blas,-0.021628690492292435,-0.02139646760498848,-32.09470140748272,-0.23278106952266378
dist_Tetuán,0.008123971655479068,0.008157060657217663,12.235590985826494,0.11838835299439028
dist_Usera,-0.12936787539017303,-0.12134932787545116,-182.02399181317674,-1.967205329136437
dist_Vicálvaro,-0.04469338344017615,-0.043709348564789585,-65.56402284718438,-0.4409428645268417
dist_Villa de Vallecas,-0.09823185749523589,-0.09356128522207552,-140.3419278331133,-0.7959930867571847
dist_Villaverde,0.059327902016633516,0.06112312811416132,91.68469217124198,0.6557910750859691
